model,feature_group,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,majority_class,n_features,selected_C,selected_threshold,val_balanced_accuracy
LogisticRegression,market_full,0.56,0.5769230769230769,1.0,0.15384615384615385,0.26666666666666666,0.8525641025641026,,40,0.01,0.7499999999999999,0.5416666666666667
LogisticRegression,market_full_text_meta,0.56,0.5769230769230769,1.0,0.15384615384615385,0.26666666666666666,0.8461538461538461,,43,0.01,0.7499999999999999,0.5416666666666667
LogisticRegression,market_full_finbert_pca_16,0.56,0.5769230769230769,1.0,0.15384615384615385,0.26666666666666666,0.8461538461538461,,56,0.01,0.7499999999999999,0.5416666666666667
LogisticRegression,market_full_finbert_pca_16_text_meta,0.56,0.5769230769230769,1.0,0.15384615384615385,0.26666666666666666,0.8461538461538461,,59,0.01,0.7499999999999999,0.5416666666666667
LogisticRegression,market_full_finbert_pca_32,0.56,0.5769230769230769,1.0,0.15384615384615385,0.26666666666666666,0.8461538461538461,,72,0.01,0.7499999999999999,0.5416666666666667
LogisticRegression,market_full_finbert_pca_32_text_meta,0.56,0.5769230769230769,1.0,0.15384615384615385,0.26666666666666666,0.8461538461538461,,75,0.01,0.7499999999999999,0.5416666666666667
LogisticRegression,returns_rolling,0.52,0.5384615384615384,1.0,0.07692307692307693,0.14285714285714285,0.75,,19,0.01,0.6499999999999999,0.5416666666666667
baseline,majority,0.52,0.5,0.52,1.0,0.6842105263157895,0.5,1.0,0,,,
LogisticRegression,prices_raw,0.52,0.5,0.52,1.0,0.6842105263157895,0.8012820512820513,,11,0.01,0.6,0.5416666666666667
LogisticRegression,volume_rolling,0.52,0.5,0.52,1.0,0.6842105263157895,0.4358974358974359,,10,0.1,0.4799999999999999,0.7083333333333334
LogisticRegression,finbert_full,0.52,0.5,0.52,1.0,0.6842105263157895,0.5,,768,0.01,0.05,0.5
LogisticRegression,text_meta,0.52,0.5,0.52,1.0,0.6842105263157895,0.5,,3,0.01,0.05,0.5
LogisticRegression,finbert_pca_16,0.52,0.5,0.52,1.0,0.6842105263157895,0.5,,16,0.01,0.05,0.5
LogisticRegression,finbert_pca_32,0.52,0.5,0.52,1.0,0.6842105263157895,0.5,,32,0.01,0.05,0.5
LogisticRegression,finbert_pca_64,0.52,0.5,0.52,1.0,0.6842105263157895,0.5,,64,0.01,0.05,0.5
LogisticRegression,market_full_finbert_pca_64,0.52,0.5,0.52,1.0,0.6842105263157895,0.7948717948717948,,104,0.1,0.43999999999999995,0.5833333333333334
LogisticRegression,market_full_finbert_pca_64_text_meta,0.52,0.5,0.52,1.0,0.6842105263157895,0.7884615384615385,,107,0.1,0.45999999999999996,0.5833333333333334
baseline,previous_direction,0.36,0.358974358974359,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.358974358974359,,0,,,
